title,normalized_title,type,authors,journal,year,library
Canfor corporation's Mill operations in Prince George with Brett Robinson at the Helm,canfor corporations mill operations in prince george with brett robinson at the helm,Magazine Article,"Patakfalvi, Z",PULP & PAPER-CANADA,2004,Search
River conversations: A confluence of lessons and emergence from the Taieri River and the Nechako River,river conversations a confluence of lessons and emergence from the taieri river and the nechako river,Journal Article,"Parkes, MW",RIVER RESEARCH AND APPLICATIONS,2022,Search
"The Cedar Project: Impacts of policing among young Aboriginal people who use injection and non-injection drugs in British Columbia, Canada",the cedar project impacts of policing among young aboriginal people who use injection and noninjection drugs in british columbia canada,Journal Article,"Pan, SW; Christian, CWM; Pearce, ME; Blair, AH; Jongbloed, K; Zhang, HB; Teegee, M; Thomas, V; Schechter, MT; Spittal, PM",INTERNATIONAL JOURNAL OF DRUG POLICY,2013,Search
Evaluation of Prescription Adaptation Following Changes to A Provincial Drug Insurance Formulary,evaluation of prescription adaptation following changes to a provincial drug insurance formulary,Journal Article,"Pammett, RT",PHARMACY,2019,Search
"Impacts of variability and trends in runoff and water temperature on salmon migration in the Fraser River Basin, Canada",impacts of variability and trends in runoff and water temperature on salmon migration in the fraser river basin canada,Journal Article,"Padilla, A; Rasouli, K; Dery, SJ",HYDROLOGICAL SCIENCES JOURNAL-JOURNAL DES SCIENCES HYDROLOGIQUES,2015,Search
"Sediment-associated organopollutants, metals and nutrients in the Nechako River, British Columbia: a current study with a synthesis of historical data",sedimentassociated organopollutants metals and nutrients in the nechako river british columbia a current study with a synthesis of historical data,Journal Article,"Owens, PN; Gateuille, DJ; Petticrew, EL; Booth, BP; French, TD",CANADIAN WATER RESOURCES JOURNAL,2019,Search
"Total and size-fractionated mass of road-deposited sediment in the city of Prince George, British Columbia, Canada: implications for air and water quality in an urban environment",total and sizefractionated mass of roaddeposited sediment in the city of prince george british columbia canada implications for air and water quality in an urban environment,Journal Article,"Owens, PN; Caley, KA; Campbell, S; Koiter, AJ; Droppo, IG; Taylor, KG",JOURNAL OF SOILS AND SEDIMENTS,2011,Search
Pollination and cone morphology affect cone and seed production in lodgepole pine seed orchards,pollination and cone morphology affect cone and seed production in lodgepole pine seed orchards,Journal Article,"Owens, JN; Bennett, J; L'Hirondelle, S",CANADIAN JOURNAL OF FOREST RESEARCH,2005,Search
Water Temperature Ensemble Forecasts: Implementation Using the CEQUEAU Model on Two Contrasted River Systems,water temperature ensemble forecasts implementation using the cequeau model on two contrasted river systems,Journal Article,"Ouellet-Proulx, S; St-Hilaire, A; Boucher, MA",WATER,2017,Search
Assimilation of water temperature and discharge data for ensemble water temperature forecasting,assimilation of water temperature and discharge data for ensemble water temperature forecasting,Journal Article,"Ouellet-Proulx, S; Chiadjeu, OC; Boucher, MA; St-Hilaire, A",JOURNAL OF HYDROLOGY,2017,Search
Biostratigraphic and biogeographic constraints on the Carboniferous to Jurassic Cache Creek Terrane in central British Columbia,biostratigraphic and biogeographic constraints on the carboniferous to jurassic cache creek terrane in central british columbia,Journal Article,"Orchard, MJ; Cordey, F; Rui, L; Bamber, EW; Mamet, B; Struik, LC; Sano, H; Taylor, HJ",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
"Intercomparison of atmospheric forcing datasets and two PBL schemes for precipitation modelling over a coastal valley in northern British Columbia, Canada",intercomparison of atmospheric forcing datasets and two pbl schemes for precipitation modelling over a coastal valley in northern british columbia canada,Journal Article,"Onwukwe, C; Jackson, PL; Dery, SJ",METEOROLOGICAL APPLICATIONS,2022,Search
A hedonic price function for a Northern BC community,a hedonic price function for a northern bc community,Journal Article,"Ogwang, T; Wang, BT",SOCIAL INDICATORS RESEARCH,2003,Search
"Winter measurements of children's personal exposure and ambient fine particle mass, sulphate and light absorbing components in a northern community",winter measurements of childrens personal exposure and ambient fine particle mass sulphate and light absorbing components in a northern community,Journal Article,"Noullett, M; Jackson, PL; Brauer, M",ATMOSPHERIC ENVIRONMENT,2006,Search
Estimation and characterization of children's ambient generated exposure to PM2.5 using sulphate and elemental carbon as tracers,estimation and characterization of childrens ambient generated exposure to pm25 using sulphate and elemental carbon as tracers,Journal Article,"Noullett, M; Jackson, PL; Brauer, M",ATMOSPHERIC ENVIRONMENT,2010,Search
"Ambient and personal exposure levels of fine particulate matter (PM2.5) in the airshed of Prince George, Britsh Columbia, Canada",ambient and personal exposure levels of fine particulate matter pm25 in the airshed of prince george britsh columbia canada,Journal Article,"Noullett, M; Jackson, PL; Brauer, M",EPIDEMIOLOGY,2002,Search
DNA polymerase gene sequences indicate western and forest tent caterpillar viruses form a new taxonomic group within baculoviruses,dna polymerase gene sequences indicate western and forest tent caterpillar viruses form a new taxonomic group within baculoviruses,Journal Article,"Nielsen, CB; Cooper, D; Short, SM; Myers, JH; Suttle, CA",JOURNAL OF INVERTEBRATE PATHOLOGY,2002,Search
"Understanding barriers to health care access through cultural safety and ethical space: Indigenous people's experiences in Prince George, Canada",understanding barriers to health care access through cultural safety and ethical space indigenous peoples experiences in prince george canada,Journal Article,"Nelson, SE; Wilson, K",SOCIAL SCIENCE & MEDICINE,2018,Search
Rights and health versus rights to health: Bringing Indigenous Peoples ' legal rights into the spaces of health care services,rights and health versus rights to health bringing indigenous peoples legal rights into the spaces of health care services,Journal Article,"Nelson, SE; Wilson, K",POLITICAL GEOGRAPHY,2021,Search
"Indigenous health organizations, Indigenous community resurgence, and the reclamation of place in urban areas",indigenous health organizations indigenous community resurgence and the reclamation of place in urban areas,Journal Article,"Nelson, SE; Wilson, K",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2021,Search
"Age-Friendly Cities and Older Indigenous People: An Exploratory Study in Prince George, Canada",agefriendly cities and older indigenous people an exploratory study in prince george canada,Journal Article,"Nelson, SE; Rosenberg, MW",CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,2022,Search
Population genomics of an emergent tri-species hybrid zone,population genomics of an emergent trispecies hybrid zone,Journal Article,"Natola, L; Seneviratne, SS; Irwin, D",MOLECULAR ECOLOGY,2022,Search
Primary production in 2 small lakes of Northern Interior Plateau of British Columbia,primary production in 2 small lakes of northern interior plateau of british columbia,Journal Article,"Narver, DW",JOURNAL OF THE FISHERIES RESEARCH BOARD OF CANADA,1967,Search
"The Birds and Mammals of the Vanderhoof Region, British Columbia",the birds and mammals of the vanderhoof region british columbia,Journal Article,"Munro, J. A.",American Midland Naturalist,1949,Search
Regional moose (Alces alces) responses to forestry cutblocks are driven by landscape-scale patterns of vegetation composition and regrowth,regional moose alces alces responses to forestry cutblocks are driven by landscapescale patterns of vegetation composition and regrowth,Journal Article,"Mumma, MA; Gillingham, MP; Marshall, S; Procter, C; Bevington, AR; Scheideman, M",FOREST ECOLOGY AND MANAGEMENT,2021,Search
Evacuating a First Nation Due to Wildfire Smoke: The Case of Dene Tha' First Nation,evacuating a first nation due to wildfire smoke the case of dene tha first nation,Journal Article,"Mottershead, KD; McGee, TK; Christianson, A",INTERNATIONAL JOURNAL OF DISASTER RISK SCIENCE,2020,Search
"Negotiating the production of space in Tl'azt'en territory, Northern British Columbia",negotiating the production of space in tlazten territory northern british columbia,Journal Article,"Morris, P; Fondahl, G",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2002,Search
Logging operations in Prince George area of B.C,logging operations in prince george area of bc,Magazine Article,"Morris, DJ",PULP AND PAPER MAGAZINE OF CANADA,1970,Search
Envisioning healthy futures: Youth perceptions of justice-oriented environments and communities in Northern British Columbia Canada,envisioning healthy futures youth perceptions of justiceoriented environments and communities in northern british columbia canada,Journal Article,"Morgan, Onyx Vanessa Sloan; Thomas, Kimberley; McNab-Coombs, Laura",Health & Place,2022,Search
The Cedar Project: Correlates of attempted suicide among young aboriginal people who use injection and non-injection drugs in two Canadian cities.,the cedar project correlates of attempted suicide among young aboriginal people who use injection and noninjection drugs in two canadian cities,Journal Article,"Moniruzzaman, A; Pearce, ME; Patel, SH; Chavoshi, N; Teegee, M; Adam, W; Christian, WM; Henderson, E; Craib, KJP; Schechter, MT; Spittal, PM",INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH,2009,Search
Molecular evolution at Mhc genes in two populations of chinook salmon Oncorhynchus tshawytscha,molecular evolution at mhc genes in two populations of chinook salmon oncorhynchus tshawytscha,Journal Article,"Miller, KM; Withler, RE; Beacham, TD",MOLECULAR ECOLOGY,1997,Search
"The Cedar Project: risk factors for transition to injection drug use among young, urban Aboriginal people",the cedar project risk factors for transition to injection drug use among young urban aboriginal people,Journal Article,"Miller, CL; Pearce, ME; Moniruzzaman, A; Thomas, V; Christian, W; Schechter, MT; Spittal, PM",CANADIAN MEDICAL ASSOCIATION JOURNAL,2011,Search
Health and the quality of life,health and the quality of life,Journal Article,"Michalos, AC; Zumbo, BD; Hubley, A",SOCIAL INDICATORS RESEARCH,2000,Search
Public services and the quality of life,public services and the quality of life,Journal Article,"Michalos, AC; Zumbo, BD",SOCIAL INDICATORS RESEARCH,1999,Search
"Ethnicity, modern prejudice and the quality of life",ethnicity modern prejudice and the quality of life,Journal Article,"Michalos, AC; Zumbo, BD",SOCIAL INDICATORS RESEARCH,2001,Search
Criminal victimization and the quality of life,criminal victimization and the quality of life,Journal Article,"Michalos, AC; Zumbo, BD",SOCIAL INDICATORS RESEARCH,2000,Search
Determinants of health and the quality of life in the Bella Coola Valley,determinants of health and the quality of life in the bella coola valley,Journal Article,"Michalos, AC; Thommasen, HV; Read, R; Anderson, N; Zumbo, BD",SOCIAL INDICATORS RESEARCH,2005,Search
"Quality of life of some under-represented survey respondents: Youth, Aboriginals and unemployed",quality of life of some underrepresented survey respondents youth aboriginals and unemployed,Journal Article,"Michalos, AC; Orlando, JA",SOCIAL INDICATORS RESEARCH,2006,Search
Arts and the Perceived Quality of Life in British Columbia,arts and the perceived quality of life in british columbia,Journal Article,"Michalos, AC; Kahlke, PM",SOCIAL INDICATORS RESEARCH,2010,Search
Health and other aspects of the quality of life of older people,health and other aspects of the quality of life of older people,Journal Article,"Michalos, AC; Hubley, AM; Zumbo, BD; Hemingway, D",SOCIAL INDICATORS RESEARCH,2001,Search
Policing services and the quality of life,policing services and the quality of life,Journal Article,"Michalos, AC",SOCIAL INDICATORS RESEARCH,2003,Search
Arts and the quality of life: An exploratory study,arts and the quality of life an exploratory study,Journal Article,"Michalos, AC",SOCIAL INDICATORS RESEARCH,2005,Search
"Reply to comments by Kovanen and Begkt on ""Early Holocene glacier advance, southern Coast Mountains, British Columbia, Canada""",reply to comments by kovanen and begkt on early holocene glacier advance southern coast mountains british columbia canada,Journal Article,"Menounos, B; Koch, J; Clague, JJ; Osborn, G; Mazzucchi, D",QUATERNARY SCIENCE REVIEWS,2005,Search
The Cedar Project: A comparison of HIV-related vulnerabilities amongst young Aboriginal women surviving drug use and sex work in two Canadian cities,the cedar project a comparison of hivrelated vulnerabilities amongst young aboriginal women surviving drug use and sex work in two canadian cities,Journal Article,"Mehrabadi, A; Craib, KJP; Patterson, K; Adam, W; Moniruzzaman, A; Ward-Burkitt, B; Schechter, MT; Spittal, PM",INTERNATIONAL JOURNAL OF DRUG POLICY,2008,Search
Porphyry deposits of the Canadian cordillera,porphyry deposits of the canadian cordillera,Journal Article,"McMillan, WJ; Thompson, JFH; Hart, CJR; Johnston, ST",GEOSCIENCE CANADA,1996,Search
"Statistical, remote sensing-based approach for estimating the probability of catastrophic drainage from moraine-dammed lakes in Southwestern British Columbia",statistical remote sensingbased approach for estimating the probability of catastrophic drainage from morainedammed lakes in southwestern british columbia,Journal Article,"McKillop, RJ; Clague, JJ",GLOBAL AND PLANETARY CHANGE,2007,Search
Remixed methodologies in community-based film research,remixed methodologies in communitybased film research,Journal Article,"McCreary, T; Murnaghan, AMF",CANADIAN GEOGRAPHIES-GEOGRAPHIES CANADIENNES,2020,Search
Between the commodity and the gift: the Coastal GasLink pipeline and the contested temporalities of Canadian and Witsuwit'en law,between the commodity and the gift the coastal gaslink pipeline and the contested temporalities of canadian and witsuwiten law,Journal Article,"McCreary, T",JOURNAL OF HUMAN RIGHTS AND THE ENVIRONMENT,2020,Search
"Shared Histories: Witsuwit'en-Settler Relations in Smithers, British Columbia, 1913-1973",shared histories witsuwitensettler relations in smithers british columbia 19131973,Journal Article,"McClintock, N",CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,2022,Search
"Linkages between white sturgeon recruitment and altered bed substrates in the Nechako River, Canada",linkages between white sturgeon recruitment and altered bed substrates in the nechako river canada,Journal Article,"McAdam, SO; Walters, CJ; Nistor, C",TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,2005,Search
Climate Change & Resource Development Scenarios for the Nechako Watershed: Workshop Report May 2015,climate change resource development scenarios for the nechako watershed workshop report may 2015,Generic,"Matthews, Carling; Picketts, Ian; Déry, Stephen; Parkes, Margot; Sharma, Aseem",,2015,Search
"Quaternary stratigraphy and history of the Ootsa Lake - Cheslatta River area, Nechako Plateau, central British Columbia",quaternary stratigraphy and history of the ootsa lake cheslatta river area nechako plateau central british columbia,Journal Article,"Mate, DJ; Levson, VM",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Effects of river temperature and climate warming on stock-specific survival of adult migrating Fraser River sockeye salmon (Oncorhynchus nerka),effects of river temperature and climate warming on stockspecific survival of adult migrating fraser river sockeye salmon oncorhynchus nerka,Journal Article,"Martins, EG; Hinch, SG; Patterson, DA; Hague, MJ; Cooke, SJ; Miller, KM; Lapointe, MF; English, KK; Farrell, AP",GLOBAL CHANGE BIOLOGY,2011,Search
Watershed management in British Columbia: the Fraser Basin experience,watershed management in british columbia the fraser basin experience,Journal Article,"Marshall, David",Environments,1998,Search
Co-planning for collaborative rural and First Nations health care system transformation: Developing a pattern for partnership and social accountability,coplanning for collaborative rural and first nations health care system transformation developing a pattern for partnership and social accountability,Journal Article,"Markham, R; Hunt, M; Huebert, S; Graham, S",BRITISH COLUMBIA MEDICAL JOURNAL,2021,Search
Retreat pattern of the Cordilleran Ice Sheet in central British Columbia at the end of the last glaciation reconstructed from glacial meltwater landforms,retreat pattern of the cordilleran ice sheet in central british columbia at the end of the last glaciation reconstructed from glacial meltwater landforms,Journal Article,"Margold, M; Jansson, KN; Kleman, J; Stroeven, AP; Clague, JJ",BOREAS,2013,Search
Using Remotely Sensed MODIS Snow Product for the Management of Reservoirs in a Mountainous Canadian Watershed,using remotely sensed modis snow product for the management of reservoirs in a mountainous canadian watershed,Journal Article,"Marcil, GK; Trudel, M; Leconte, R",WATER RESOURCES MANAGEMENT,2016,Search
Assessing Use of a Standardized Allergy History Questionnaire for Patients with Reported Allergy to Penicillin,assessing use of a standardized allergy history questionnaire for patients with reported allergy to penicillin,Journal Article,"Manning, J; Pammett, RT; Hamour, A; Enemark, A; Barr, B",CANADIAN JOURNAL OF HOSPITAL PHARMACY,2021,Search
Multifrequency measurements of HF Doppler velocity in the auroral E region,multifrequency measurements of hf doppler velocity in the auroral e region,Journal Article,"Makarevitch, RA; Koustov, AV; Sofko, GJ; Andre, D; Ogawa, T",JOURNAL OF GEOPHYSICAL RESEARCH-SPACE PHYSICS,2002,Search
"Cordilleran Intermontane thermotectonic history and implications for neotectonic structure and petroleum systems, British Columbia, Canada",cordilleran intermontane thermotectonic history and implications for neotectonic structure and petroleum systems british columbia canada,Journal Article,"Majorowicz, J; Osadetz, K",INTERNATIONAL JOURNAL OF EARTH SCIENCES,2008,Search
Temporal change in wood quality attributes in standing dead beetle-killed lodgepole pine,temporal change in wood quality attributes in standing dead beetlekilled lodgepole pine,Journal Article,"Magnussen, S; Harrison, D",FORESTRY CHRONICLE,2008,Search
Effluent flow measurement at Prince-George-Pulp-and-Paper-Limited,effluent flow measurement at princegeorgepulpandpaperlimited,Magazine Article,"Magnus, MR",PULP & PAPER-CANADA,1984,Search
"Timing and tectonic setting of Stikine Terrane magmatism, Babine-Takla lakes area, central British Columbia",timing and tectonic setting of stikine terrane magmatism babinetakla lakes area central british columbia,Journal Article,"MacIntyre, DG; Villeneuve, ME; Schiarizza, P",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
"Nechako NATMAP Project, central British Columbia, 1998 Overview",nechako natmap project central british columbia 1998 overview,Generic,"MacIntyre, D. G.; Struik, L. C.",,1998,Search
The effect of variable-retention riparian buffer zones on water temperatures in small headwater streams in sub-boreal forest ecosystems of British Columbia,the effect of variableretention riparian buffer zones on water temperatures in small headwater streams in subboreal forest ecosystems of british columbia,Journal Article,"Macdonald, JS; MacIsaac, EA; Herunter, HE",CANADIAN JOURNAL OF FOREST RESEARCH,2003,Search
"Contaminants in white sturgeon (Acipenser transmontanus) from the upper Fraser River, British Columbia, Canada",contaminants in white sturgeon acipenser transmontanus from the upper fraser river british columbia canada,Journal Article,"MacDonald, DD; Ikonomou, MG; Rantalaine, AL; Rogers, IH; Sutherland, D; VanOostdam, J",ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,1997,Search
Modelling electric vehicle charging network capacity and performance during short-notice evacuations,modelling electric vehicle charging network capacity and performance during shortnotice evacuations,Journal Article,"MacDonald, CD; Kattan, L; Layzell, D",INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,2021,Search
"Collective Self-Determination, Territory and the Wet'suwet'en: What Justifies the Political Authority of Historic Indigenous Governments over Land and People?",collective selfdetermination territory and the wetsuweten what justifies the political authority of historic indigenous governments over land and people,Journal Article,"Luoma, M",CANADIAN JOURNAL OF POLITICAL SCIENCE-REVUE CANADIENNE DE SCIENCE POLITIQUE,2022,Search
Tertiary extension in the central British Columbia Intermontane Belt: magnetic and paleomagnetic evidence from the Endako region,tertiary extension in the central british columbia intermontane belt magnetic and paleomagnetic evidence from the endako region,Journal Article,"Lowe, C; Enkin, RJ; Struik, LC",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Regionalization of Landscape Pattern Indices Using Multivariate Cluster Analysis,regionalization of landscape pattern indices using multivariate cluster analysis,Journal Article,"Long, J; Nelson, T; Wulder, M",ENVIRONMENTAL MANAGEMENT,2010,Search
"The abundance and distribution of wolverines in British Columbia, Canada",the abundance and distribution of wolverines in british columbia canada,Journal Article,"Lofroth, EC; Krebs, J",JOURNAL OF WILDLIFE MANAGEMENT,2007,Search
Tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,tests of the fidelity of lake sediment core records of mercury deposition to known histories of mercury contamination,Journal Article,"Lockhart, WL; Macdonald, RW; Outridge, PM; Wilkinson, P; DeLaronde, JB; Rudd, JWM",SCIENCE OF THE TOTAL ENVIRONMENT,2000,Search
Long-term forest management and timely transfer of carbon into wood products help reduce atmospheric carbon,longterm forest management and timely transfer of carbon into wood products help reduce atmospheric carbon,Journal Article,"Liu, GL; Han, SJ",ECOLOGICAL MODELLING,2009,Search
Endako Roasting Practice,endako roasting practice,Journal Article,"Lindsay, DG",CIM BULLETIN,1977,Search
A report prepared by the Upper Fraser Fisheries Conservation Alliance (UFFCA) and the Nechako Fisheries Conservation Program,a report prepared by the upper fraser fisheries conservation alliance uffca and the nechako fisheries conservation program,Generic,"Levy, David A; Nicklin, Peter",,2018,Search
Quaternary geology of the Babine porphyry copper district: implications for geochemical exploration,quaternary geology of the babine porphyry copper district implications for geochemical exploration,Journal Article,"Levson, VM",CANADIAN JOURNAL OF EARTH SCIENCES,2001,Search
Quaternary Geology and Drift prospecting studies in the North Central Nechako Plateau (93 F and K),quaternary geology and drift prospecting studies in the north central nechako plateau 93 f and k,Journal Article,"Levson, Victor M.; Mate, David; Stuart, Andrew J.",British Columbia Geological Survey Geological Fieldwork 1998,1998,Search
You can't fix what you don't see: a case study of unprofessional behaviour in the workplace,you cant fix what you dont see a case study of unprofessional behaviour in the workplace,Thesis,"LeBlanc, Suzanne",,2008,Search
"Collaboration Geographies: Native-White Partnerships During the Re-settlement of Ootsa Lake, British Columbia, 1900-52",collaboration geographies nativewhite partnerships during the resettlement of ootsa lake british columbia 190052,Journal Article,"Larsen, Soren",BC Studies; Vancouver,2003,Search
Promoting Aboriginal territoriality through interethnic alliances: The case of the Cheslatta T'en in Northern British Columbia,promoting aboriginal territoriality through interethnic alliances the case of the cheslatta ten in northern british columbia,Journal Article,"Larsen, SC",HUMAN ORGANIZATION,2003,Search
Gift of art/gift of place: boundary work for Indigenous coexistence,gift of artgift of place boundary work for indigenous coexistence,Journal Article,"Larsen, S",JOURNAL OF CULTURAL GEOGRAPHY,2022,Search
A coupled streamflow and water temperature (VIC-RBM-CE-QUAL-W2) model for the Nechako Reservoir,a coupled streamflow and water temperature vicrbmcequalw2 model for the nechako reservoir,Journal Article,"Larabi, S; Schnorbus, MA; Zwiers, F",JOURNAL OF HYDROLOGY-REGIONAL STUDIES,2022,Search
Late Paleozoic and Triassic plume-derived magmas in the Canadian Cordillera played a key role in continental crust growth,late paleozoic and triassic plumederived magmas in the canadian cordillera played a key role in continental crust growth,Journal Article,"Lapierre, H; Bosch, D; Tardy, M; Struik, LC",CHEMICAL GEOLOGY,2003,Search
Aboriginal values and resource development in Native Space: Lessons from British Columbia,aboriginal values and resource development in native space lessons from british columbia,Journal Article,"Kunkel, T",EXTRACTIVE INDUSTRIES AND SOCIETY-AN INTERNATIONAL JOURNAL,2017,Search
"Prevalence and persistence of nuclear polyhedrosis virus in fluctuating populations of forest tent caterpillars (Lepidoptera: Lasiocampidae) in the area of Prince George, British Columbia",prevalence and persistence of nuclear polyhedrosis virus in fluctuating populations of forest tent caterpillars lepidoptera lasiocampidae in the area of prince george british columbia,Journal Article,"Kukan, B; Myers, JH",ENVIRONMENTAL ENTOMOLOGY,1997,Search
Gill morphometry and hematology of juvenile chinook salmon chronically exposed to treated (elemental chlorine-free) bleached kraft pulp mill effluent at low temperature to simulate winter exposure,gill morphometry and hematology of juvenile chinook salmon chronically exposed to treated elemental chlorinefree bleached kraft pulp mill effluent at low temperature to simulate winter exposure,Journal Article,"Kruzynski, GM; Farrell, AP; Tierney, KB; Sanders, SM; Birtwell, IK",CANADIAN JOURNAL OF ZOOLOGY,2004,Search
"Mental disorder, service use, and barriers to care among 500 homeless people in 3 different urban settings",mental disorder service use and barriers to care among 500 homeless people in 3 different urban settings,Journal Article,"Krausz, RM; Clarkson, AF; Strehlau, V; Torchalla, I; Li, K; Schuetz, CG",SOCIAL PSYCHIATRY AND PSYCHIATRIC EPIDEMIOLOGY,2013,Search
Extracting greater value from subalpine fir: Veneer products,extracting greater value from subalpine fir veneer products,Journal Article,"Knudson, RM; McFarling, SM",FOREST PRODUCTS JOURNAL,2009,Search
Polyaromatic Hydrocarbons of Smoked Cured Muscle foods prepared by Canadian Tl'azt'en and Llheidli T'enneh First Nation Communities.,polyaromatic hydrocarbons of smoked cured muscle foods prepared by canadian tlazten and llheidli tenneh first nation communities,Journal Article,"Kitts, DD; Chen, XM; Broda, P",JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART A-CURRENT ISSUES,2012,Search
"Mapping crustal structure of the Nechako-Chilcotin plateau using teleseismic receiver function analysis(1,2)",mapping crustal structure of the nechakochilcotin plateau using teleseismic receiver function analysis12,Journal Article,"Kim, HS; Cassidy, JF; Dosso, SE; Kao, H",CANADIAN JOURNAL OF EARTH SCIENCES,2014,Search
Multisite calibration of a semi-distributed hydrologic and thermal model in a large Canadian watershed,multisite calibration of a semidistributed hydrologic and thermal model in a large canadian watershed,Journal Article,"Khorsandi, M; St-Hilaire, A; Arsenault, R",HYDROLOGICAL SCIENCES JOURNAL,2022,Search
Grass management regimes affect grasshopper availability and subsequently American crow activity at airports,grass management regimes affect grasshopper availability and subsequently american crow activity at airports,Journal Article,"Kennedy, LA; Otter, KA",HUMAN-WILDLIFE INTERACTIONS,2015,Search
"Persistent organic pollutants in aquafeed and Pacific salmon smolts from fish hatcheries in British Columbia, Canada",persistent organic pollutants in aquafeed and pacific salmon smolts from fish hatcheries in british columbia canada,Journal Article,"Kelly, BC; Fernandez, MP; Ikonomou, MG; Knapp, W",AQUACULTURE,2008,Search
Feasibility of Intradialytic Cycling Program in a Remote Community Hemodialysis Unit: Mixed-Methods Analysis of Implementation,feasibility of intradialytic cycling program in a remote community hemodialysis unit mixedmethods analysis of implementation,Journal Article,"Kaminska, ME; Roots, RK; Singh, A",CANADIAN JOURNAL OF KIDNEY HEALTH AND DISEASE,2021,Search
"How positive is ""change"" in climate change? A sentiment analysis",how positive is change in climate change a sentiment analysis,Journal Article,"Jost, F; Dale, A; Schwebel, S",ENVIRONMENTAL SCIENCE & POLICY,2019,Search
Climate action assessment in three small municipalities in British Columbia: advancements vis-a-vis major neighboring cities,climate action assessment in three small municipalities in british columbia advancements visavis major neighboring cities,Journal Article,"Jost, F; Dale, A; Newell, R; Robinson, J",CURRENT RESEARCH IN ENVIRONMENTAL SUSTAINABILITY,2020,Search
"A longitudinal study of emergency room visits and air pollution for Prince George, British Columbia",a longitudinal study of emergency room visits and air pollution for prince george british columbia,Journal Article,"Jorgensen, B; LundbyeChristensen, S; Song, XK; Sun, L",STATISTICS IN MEDICINE,1996,Search
"The Cedar Project - Mobile Phone Use and Acceptability of Mobile Health Among Young Indigenous People Who Have Used Drugs in British Columbia, Canada: Mixed Methods Exploratory Study",the cedar project mobile phone use and acceptability of mobile health among young indigenous people who have used drugs in british columbia canada mixed methods exploratory study,Journal Article,"Jongbloed, K; Pearce, ME; Thomas, V; Sharma, R; Pooyak, S; Demerais, L; Lester, RT; Schechter, MT; Spittal, PM",JMIR MHEALTH AND UHEALTH,2020,Search
The Cedar Project: mortality among young Indigenous people who use drugs in British Columbia,the cedar project mortality among young indigenous people who use drugs in british columbia,Journal Article,"Jongbloed, K; Pearce, ME; Pooyak, S; Zamar, D; Thomas, V; Demerais, L; Christian, WM; Henderson, E; Sharma, R; Blair, AH; Yoshida, EM; Schechter, MT; Spittal, PM",CANADIAN MEDICAL ASSOCIATION JOURNAL,2017,Search
The Cedar Project WelTel mHealth intervention for HIV prevention in young Indigenous people who use illicit drugs: study protocol for a randomized controlled trial,the cedar project weltel mhealth intervention for hiv prevention in young indigenous people who use illicit drugs study protocol for a randomized controlled trial,Journal Article,"Jongbloed, K; Friedman, AJ; Pearce, ME; Van Der Kop, ML; Thomas, V; Demerais, L; Pooyak, S; Schechter, MT; Lester, RT; Spittal, PM",TRIALS,2016,Search
The Cedar Project: Unstable Housing and HIV vulnerability among young aboriginal men and women who use drugs in Vancouver and Prince George,the cedar project unstable housing and hiv vulnerability among young aboriginal men and women who use drugs in vancouver and prince george,Journal Article,"Jongbloed, K; Bingham, B; Schechter, M; Spittal, P",AMERICAN JOURNAL OF EPIDEMIOLOGY,2011,Search
Calcium and pH co-restrict abundance of Drosera rotundifolia (Droseraceae) in a Sphagnum bog in central British Columbia,calcium and ph corestrict abundance of drosera rotundifolia droseraceae in a sphagnum bog in central british columbia,Journal Article,"Jones, JMC; Massicotte, HB; Fredeen, AL",BOTANY,2016,Search
"Estimating extreme avalanche runout for the Columbia Mountains and Fernie area Rocky Mountains of British Columbia, Canada",estimating extreme avalanche runout for the columbia mountains and fernie area rocky mountains of british columbia canada,Journal Article,"Johnston, KS; Jamieson, B; Jones, A",CANADIAN GEOTECHNICAL JOURNAL,2012,Search
Plants and habitats - a consideration of Dene ethnoecology in northwestern Canada,plants and habitats a consideration of dene ethnoecology in northwestern canada,Journal Article,"Johnson, LM",BOTANY,2008,Search
"Dendroglaciological reconstruction of late-Holocene glacier activity at White and South Flat glaciers, Boundary Range, northern British Columbia Coast Mountains, Canada",dendroglaciological reconstruction of lateholocene glacier activity at white and south flat glaciers boundary range northern british columbia coast mountains canada,Journal Article,"Johnson, K; Smith, DJ",HOLOCENE,2012,Search
Underwater loggers mine the lakes for sunken tree stems and logs,underwater loggers mine the lakes for sunken tree stems and logs,Magazine Article,"Janecky, Rich",Business Logger,1996,Search
